workLabel,publicationYear,authorLabel,authorCountryLabel
"Крабат, или Легенды старой мельницы",1971,Отфрид Пройслер,Нацистская Германия
"Крабат, или Легенды старой мельницы",1971,Отфрид Пройслер,Федеративная Республика Германии
Туманность Андромеды,1957,Иван Антонович Ефремов,Российская империя
На западном фронте без перемен,1929,Эрих Мария Ремарк,США
Трёхгрошовая опера,1928,Бертольт Брехт,Веймарская республика
Трёхгрошовая опера,1931,Бертольт Брехт,Веймарская республика
Слепота,1996,"Сарамаго, Жозе",Португалия
Медея,,Еврипид,Древние Афины
Новелла о снах,1920,Артур Шницлер,Австрия
Новелла о снах,1926,Артур Шницлер,Австрия
Десять негритят,1939,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Бильярд в половине десятого,1959,Генрих Бёлль,Германия
Мамаша Кураж и её дети,1949,Бертольт Брехт,ГДР
Новелла о снах,1920,Артур Шницлер,Цислейтания
Новелла о снах,1926,Артур Шницлер,Цислейтания
Скромное предложение,1729,Джонатан Свифт,Королевство Ирландия
Эмма,1815,Джейн Остин,Королевство Великобритания
Трёхгрошовая опера,1928,Бертольт Брехт,ГДР
Трёхгрошовая опера,1931,Бертольт Брехт,ГДР
Ифигения в Тавриде,,Еврипид,Древние Афины
Облачный атлас,2004,"Митчелл, Дэвид",Великобритания
Гроздья гнева,1939,Джон Стейнбек,США
Убийство Роджера Экройда,1926,Агата Кристи,Соединённое королевство Великобритании и Ирландии
"Крабат, или Легенды старой мельницы",1971,Отфрид Пройслер,Первая Чехословацкая Республика
Теогония,-700,Гесиод,
Путешествия Гулливера,1726,Джонатан Свифт,Ирландия
"Мио, мой Мио",1954,Астрид Линдгрен,Швеция
Бесконечная ночь,1967,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Пелей и Мелисанда,,Морис Метерлинк,Бельгия
Ипполит,,Еврипид,Древние Афины
Мэнсфилд-парк,1814,Джейн Остин,Королевство Великобритания
Чувство и чувствительность,1811,Джейн Остин,Королевство Великобритания
Дракула,1897,Брэм Стокер,Соединённое королевство Великобритании и Ирландии
Гордость и предубеждение,1813,Джейн Остин,Королевство Великобритания
Новелла о снах,1920,Артур Шницлер,Австрийская империя
Новелла о снах,1926,Артур Шницлер,Австрийская империя
Эмма,1815,Джейн Остин,Соединённое королевство Великобритании и Ирландии
Доктор Живаго,1957,Борис Леонидович Пастернак,СССР
Сатирикон,,Петроний Арбитр,Древний Рим
Гедда Габлер,1890,Генрик Ибсен,Норвегия
Война миров,1898,Герберт Уэллс,Великобритания
Занавес,1975,Агата Кристи,Великобритания
Забытое убийство,1976,Агата Кристи,Великобритания
Доктор Живаго,1957,Борис Леонидович Пастернак,Российская империя
Нортенгерское аббатство,1817,Джейн Остин,Королевство Великобритания
Путешествия Гулливера,1726,Джонатан Свифт,Королевство Ирландия
Без судьбы,1975,Имре Кертес,Венгрия
Не поддаваясь дождю,,"Миядзава, Кэндзи",Япония
Повелитель мух,1954,Уильям Голдинг,Великобритания
Десять негритят,1939,Агата Кристи,Великобритания
"Бойня номер пять, или Крестовый поход детей",1969,Курт Воннегут,США
Труды и дни,-800,Гесиод,
Негр с «Нарцисса»,1897,Джозеф Конрад,Соединённое королевство Великобритании и Ирландии
Остров сокровищ,1883,Роберт Льюис Стивенсон,Соединённое королевство Великобритании и Ирландии
Пармская обитель,1839,Стендаль,Франция
Буколики,,Вергилий,Древний Рим
Эрагон. Брисингр,2008,Кристофер Паолини,США
Смерть Дантона,1835,Георг Бюхнер,Германия
Бесы,1871,Фёдор Михайлович Достоевский,Российская империя
Бесы,1872,Фёдор Михайлович Достоевский,Российская империя
Игра в бисер,1943,Соломон Константинович Апт,СССР
Игра в бисер,1943,Соломон Константинович Апт,Россия
Скотный двор,1945,Джордж Оруэлл,Великобритания
Катилинарии,-62,Марк Туллий Цицерон,Древний Рим
Ревность Барбулье,1663,Мольер,Королевство Франция
Рилла из Инглсайда,1921,Люси Монтгомери,Канада
Князь Света,1967,Роджер Желязны,США
Остров,1962,Олдос Хаксли,Великобритания
Исповедь «неполноценного» человека,1948,Осаму Дадзай,Япония
Золотой телёнок,1931,Илья Арнольдович Ильф,СССР
Источник,1943,Айн Рэнд,СССР
Аня с острова Принца Эдуарда,1915,Люси Монтгомери,Канада
Источник,1943,Айн Рэнд,Российская республика
Записки из подполья,1864,Фёдор Михайлович Достоевский,Российская империя
Шахматная новелла,1942,Стефан Цвейг,Соединённое королевство Великобритании и Ирландии
Шахматная новелла,1943,Стефан Цвейг,Соединённое королевство Великобритании и Ирландии
Соперники,,Платон,Древние Афины
Золотой телёнок,1931,Илья Арнольдович Ильф,Российская империя
Эрагон,2003,Кристофер Паолини,США
Источник,1943,Айн Рэнд,США
Источник,1943,Айн Рэнд,Российская империя
Мещанин во дворянстве,1671,Мольер,Королевство Франция
Мнимый больной,1673,Мольер,Королевство Франция
Старикам тут не место (роман),2005,"Маккарти, Кормак",США
Источник,1943,Айн Рэнд,Российская Советская Федеративная Социалистическая Республика
Гиппий меньший,,Платон,Древние Афины
Собор Парижской Богоматери,1831,Виктор Гюго,Франция
Тристан,,"Манчинелли, Лаура",Италия
Тристан,,"Манчинелли, Лаура",Королевство Италия
Фунты лиха в Париже и Лондоне,1933,Джордж Оруэлл,Соединённое королевство Великобритании и Ирландии
Семья Опперман,1933,Лион Фейхтвангер,Германия
Семья Опперман,1933,Лион Фейхтвангер,Германская империя
Секретный агент,1907,Джозеф Конрад,Великобритания
Аня из Зелёных Мезонинов,1908,Люси Монтгомери,Канада
Свекровь,,Публий Теренций Афр,Карфаген
Поездка в Индию (роман),1924,Эдвард Морган Форстер,Соединённое королевство Великобритании и Ирландии
Секретный агент,1907,Джозеф Конрад,Российская империя
Секретный агент,1907,Джозеф Конрад,Польская Республика
Семья Опперман,1933,Лион Фейхтвангер,США
Brave New World Revisited,1958,Олдос Хаксли,Великобритания
Говардс-Энд,1910,Эдвард Морган Форстер,Великобритания
Господин де Пурсоньяк,1669,Мольер,Королевство Франция
Господин де Пурсоньяк,1670,Мольер,Королевство Франция
Свекровь,,Публий Теренций Афр,Древний Рим
Контрабас (пьеса),1984,Патрик Зюскинд,Германия
Семья Опперман,1933,Лион Фейхтвангер,Веймарская республика
Мизантроп,1666,Мольер,Королевство Франция
История с кладбищем,2008,Нил Гейман,Великобритания
Негр с «Нарцисса»,1897,Джозеф Конрад,Великобритания
Остров сокровищ,1883,Роберт Льюис Стивенсон,Великобритания
Кровавый меридиан,1985,"Маккарти, Кормак",США
Скотный двор,1945,Джордж Оруэлл,Соединённое королевство Великобритании и Ирландии
Пунш Желаний,1989,Михаэль Энде,Германия
Негр с «Нарцисса»,1897,Джозеф Конрад,Российская империя
Негр с «Нарцисса»,1897,Джозеф Конрад,Польская Республика
Приключения Тома Бомбадила,1962,Джон Рональд Руэл Толкин,Великобритания
Золотой телёнок,1931,Евгений Петрович Петров,СССР
Двойник,1847,Фёдор Михайлович Достоевский,Российская империя
В поисках Аляски,2005,Джон Грин,США
Золотой телёнок,1931,Евгений Петрович Петров,Российская империя
Коралина,2002,Нил Гейман,Великобритания
"Безумный день, или Женитьба Фигаро",1778,Пьер Огюстен Бомарше,Франция
Шахматная новелла,1942,Стефан Цвейг,Великобритания
Шахматная новелла,1943,Стефан Цвейг,Великобритания
Проделки Скапена,1671,Мольер,Королевство Франция
Трамвай «Желание»,1947,"Уильямс, Теннесси",США
Шахматная новелла,1942,Стефан Цвейг,Австро-Венгрия
Шахматная новелла,1943,Стефан Цвейг,Австро-Венгрия
Голос лебедя-трубача,1970,Элвин Брукс Уайт,США
"Человек, который смеётся",1869,Виктор Гюго,Франция
Братья,,Публий Теренций Афр,Карфаген
Секретный агент,1907,Джозеф Конрад,Соединённое королевство Великобритании и Ирландии
Огниво,1835,Ханс Кристиан Андерсен,Датское королевство
Рассуждения о первой декаде Тита Ливия,1531,Никколо Макиавелли,Флорентийская республика
Фунты лиха в Париже и Лондоне,1933,Джордж Оруэлл,Великобритания
Аня из Авонлеи,1909,Люси Монтгомери,Канада
Братья,,Публий Теренций Афр,Древний Рим
Момо,1973,Михаэль Энде,Германия
Благие знамения,1990,Нил Гейман,Великобритания
Записки из Мёртвого дома,1862,Фёдор Михайлович Достоевский,Российская империя
Кошка на раскалённой крыше,1955,"Уильямс, Теннесси",США
Говардс-Энд,1910,Эдвард Морган Форстер,Соединённое королевство Великобритании и Ирландии
О законах,,Марк Туллий Цицерон,Древний Рим
Даниэль Деронда,1876,Джордж Элиот,Соединённое королевство Великобритании и Ирландии
Поездка в Индию (роман),1924,Эдвард Морган Форстер,Великобритания
Разбитый кувшин,1811,Генрих фон Клейст,Королевство Пруссия
Шагреневая кожа,1831,Оноре де Бальзак,Франция
Борис Годунов,1831,Александр Сергеевич Пушкин,Российская империя
Тонио Крёгер,1903,Томас Манн,Веймарская республика
Объявлено убийство,1950,Агата Кристи,Великобритания
Карьера Артуро Уи,1957,Бертольт Брехт,Германская империя
Золотой жук,1842,Эдгар По,США
Как важно быть серьёзным,,Оскар Уайльд,Соединённое королевство Великобритании и Ирландии
Жизнь и приключения Николаса Никльби,1839,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Кавказский меловой круг,1949,Бертольт Брехт,Веймарская республика
Три сестры,1901,Антон Павлович Чехов,Российская империя
Чума,1947,Альбер Камю,Франция
Свинопас,1841,Ханс Кристиан Андерсен,Датско-норвежская уния
И восходит солнце,1926,Эрнест Хемингуэй,США
Убийство в «Восточном экспрессе»,1934,Агата Кристи,Великобритания
Пять поросят,,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Карьера Артуро Уи,1957,Бертольт Брехт,Веймарская республика
Свинопас,1841,Ханс Кристиан Андерсен,Датское королевство
Эгмонт,1788,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Карты на стол,1936,Агата Кристи,Великобритания
Обещание,1958,Фридрих Дюрренматт,Швейцария
Повесть о приключениях Артура Гордона Пима,1838,Эдгар По,США
Ванька,1886,Антон Павлович Чехов,Российская империя
Жизнь Галилея,1940,Бертольт Брехт,Германская империя
Жизнь Галилея,1955,Бертольт Брехт,Германская империя
Крошка Доррит,1857,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Дядя Ваня,1897,Антон Павлович Чехов,Российская империя
Вишнёвый сад,1904,Антон Павлович Чехов,Российская империя
География,150,Клавдий Птолемей,Древний Рим
Загадка Ситтафорда,1931,Агата Кристи,Великобритания
Сказка о рыбаке и рыбке,1835,Александр Сергеевич Пушкин,Российская империя
Дон Карлос,,Фридрих Шиллер,Германия
Антигона,,Софокл,Древние Афины
Евгения Гранде,1833,Оноре де Бальзак,Франция
Доводы рассудка,1818,Джейн Остин,Королевство Великобритания
Жизнь Галилея,1940,Бертольт Брехт,Веймарская республика
Жизнь Галилея,1955,Бертольт Брехт,Веймарская республика
Пять недель на воздушном шаре,1863,Жюль Верн,Франция
Добрый человек из Сычуани,1943,Бертольт Брехт,Германская империя
Недолгое счастье Фрэнсиса Макомбера,1936,Эрнест Хемингуэй,США
Смерть лорда Эджвера,1933,Агата Кристи,Великобритания
Вильям Вильсон,1839,Эдгар По,США
Письма об эстетическом воспитании человека,1795,Фридрих Шиллер,Германия
Объявлено убийство,1950,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Дон Карлос,,Фридрих Шиллер,Герцогство Вюртемберг
Будденброки,1901,Томас Манн,Нацистская Германия
Жизнь Галилея,1955,Бертольт Брехт,ГДР
Будденброки,1901,Томас Манн,Германская империя
Будденброки,1901,Томас Манн,Чехословакия
Добрый человек из Сычуани,1943,Бертольт Брехт,Веймарская республика
Смерть в Венеции,1912,Томас Манн,Нацистская Германия
Тристан,1903,Томас Манн,Нацистская Германия
Как важно быть серьёзным,,Оскар Уайльд,Великобритания
Смерть в Венеции,1912,Томас Манн,Германская империя
Смерть в Венеции,1912,Томас Манн,Чехословакия
Тристан,1903,Томас Манн,Германская империя
Тристан,1903,Томас Манн,Чехословакия
Милый друг,1885,Ги де Мопассан,Франция
Счастливая смерть,1971,Альбер Камю,Франция
Будденброки,1901,Томас Манн,США
Убийство в «Восточном экспрессе»,1934,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Письма об эстетическом воспитании человека,1795,Фридрих Шиллер,Герцогство Вюртемберг
Как важно быть серьёзным,,Оскар Уайльд,Ирландия
Смерть в Венеции,1912,Томас Манн,США
Тристан,1903,Томас Манн,США
Кукольный дом,1879,Генрик Ибсен,Норвегия
Холодный дом,1853,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Игра в бисер,1943,Герман Гессе,Германия
Игра в бисер,1943,Герман Гессе,Швейцария
Игра в бисер,1943,Герман Гессе,Германская империя
Овальный портрет,1842,Эдгар По,США
Доводы рассудка,1818,Джейн Остин,Соединённое королевство Великобритании и Ирландии
Будденброки,1901,Томас Манн,Веймарская республика
Карты на стол,1936,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Пять поросят,,Агата Кристи,Великобритания
Граф Монте-Кристо,1844,Александр Дюма-отец,Франция
Смерть в Венеции,1912,Томас Манн,Веймарская республика
Тристан,1903,Томас Манн,Веймарская республика
Враг народа,1882,Генрик Ибсен,Норвегия
Игра в бисер,1943,Герман Гессе,Российская империя
Годы учения Вильгельма Мейстера,1795,Иоганн Вольфганг фон Гёте,Саксен-Веймар-Эйзенах
Загадка Ситтафорда,1931,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Огниво,1835,Ханс Кристиан Андерсен,Датско-норвежская уния
Приключения Тома Сойера,1876,Марк Твен,США
Любовь во время холеры,1985,Габриель Гарсиа Маркес,Колумбия
На дне,1903,Максим Горький,СССР
Демиан,1919,Герман Гессе,Германия
Демиан,1919,Герман Гессе,Швейцария
Демиан,1919,Герман Гессе,Германская империя
Тонио Крёгер,1903,Томас Манн,Нацистская Германия
Тонио Крёгер,1903,Томас Манн,Германская империя
Тонио Крёгер,1903,Томас Манн,Чехословакия
Падение дома Ашеров,1839,Эдгар По,США
Смерть лорда Эджвера,1933,Агата Кристи,Соединённое королевство Великобритании и Ирландии
Кавказский меловой круг,1949,Бертольт Брехт,Германская империя
На дне,1903,Максим Горький,Российская империя
Демиан,1919,Герман Гессе,Российская империя
Тяжёлые времена,1854,Чарльз Диккенс,Соединённое королевство Великобритании и Ирландии
Тонио Крёгер,1903,Томас Манн,США
Марсианские хроники,1950,Рэй Брэдбери,США
Колдун и кристалл,1997,Стивен Кинг,США
Дева озера,1810,Вальтер Скотт,Великобритания
Айвенго,1820,Вальтер Скотт,Королевство Великобритания
Кэрри,1974,Стивен Кинг,США
Барышня Эльза,1924,Артур Шницлер,Австрийская империя
Почти как бьюик,2002,Стивен Кинг,США
Карьера Артуро Уи,1957,Бертольт Брехт,Австрия
Шутка,1967,Милан Кундера,Франция
Маленький брат,2008,Свен Регенер,Германия
Сказание о старом мореходе,1798,Сэмюэл Тейлор Кольридж,Королевство Великобритания
Шутка,1967,Милан Кундера,Чехия
Здравый смысл (памфлет),1776,Томас Пейн,Франция
Кладбище домашних животных,2007,Стивен Кинг,США
Человек без свойств,1932,"Музиль, Роберт",Австрия
Лирические баллады,1798,Сэмюэл Тейлор Кольридж,Королевство Великобритания
Долорес Клейборн,1992,Стивен Кинг,США
Путешествие по Гарцу,1826,Генрих Гейне,Франция
Разбойник (роман),1972,Роберт Вальзер,Швейцария
Путешествие по Гарцу,1826,Генрих Гейне,Германский союз
Муму,1854,Иван Сергеевич Тургенев,Российская империя
Здравый смысл (памфлет),1776,Томас Пейн,США
Мешок с костями,1998,Стивен Кинг,США
Суровое испытание (пьеса),,Артур Миллер,США
Куджо,1981,Стивен Кинг,США
Путешествие по Гарцу,1826,Генрих Гейне,Священная Римская империя
Урок немецкого,1968,Зигфрид Ленц,Германия
Дева озера,1810,Вальтер Скотт,Королевство Великобритания
Кавказский меловой круг,1949,Бертольт Брехт,ГДР
Жизнь Галилея,1940,Бертольт Брехт,Австрия
Жизнь Галилея,1955,Бертольт Брехт,Австрия
Елена,,Еврипид,Древние Афины
Здравый смысл (памфлет),1776,Томас Пейн,Королевство Великобритания
Ловец снов,2001,Стивен Кинг,США
Дом духов,,Исабель Альенде,Чили
Девять рассказов,1953,Джером Дэвид Сэлинджер,США
Карьера Артуро Уи,1957,Бертольт Брехт,ГДР
Сказание о старом мореходе,1798,Сэмюэл Тейлор Кольридж,Соединённое королевство Великобритании и Ирландии
Глаза дракона,1984,Стивен Кинг,США
Лирические баллады,1798,Сэмюэл Тейлор Кольридж,Соединённое королевство Великобритании и Ирландии
И не сказал ни единого слова,1953,Генрих Бёлль,Германия
Мизери,1987,Стивен Кинг,США
Дом духов,,Исабель Альенде,США
Надвигается беда,1962,Рэй Брэдбери,США
"Девочка, с которой детям не разрешали водиться",1936,Ирмгард Койн,Германия
Здравый смысл (памфлет),1776,Томас Пейн,Королевство Франция
Добрый человек из Сычуани,1943,Бертольт Брехт,Австрия
Мраморная статуя,1818,Йозеф фон Эйхендорф,Королевство Пруссия
Киклоп,,Еврипид,Древние Афины
Туннель,,"Келлерман, Бернгард",Нацистская Германия
Туннель,,"Келлерман, Бернгард",Германская империя
Смерть коммивояжёра,1949,Артур Миллер,США
Андромаха,,Еврипид,Древние Афины
Синяя птица,,Морис Метерлинк,Бельгия
Зов предков,1903,Джек Лондон,США
Зелёный Генрих,1854,Готфрид Келлер,Швейцария
Остров доктора Моро,1896,Герберт Уэллс,Великобритания
Звёздный десант,1959,Роберт Хайнлайн,США
Электра,,Еврипид,Древние Афины
Жизнь Галилея,1940,Бертольт Брехт,ГДР
Зелёная миля,1996,Стивен Кинг,США
Единственный и его достояние,1844,Макс Штирнер,королевство Бавария
Безнадёга,1996,Стивен Кинг,США
Туннель,,"Келлерман, Бернгард",Веймарская республика
Толстая тетрадь,1986,Агота Кристоф,Швейцария
Страна радости,2013,Стивен Кинг,США
Толстая тетрадь,1986,Агота Кристоф,Венгрия
Макс и Мориц,1865,Вильгельм Буш,Королевство Пруссия
Вид с моста,,Артур Миллер,США
Братья Львиное сердце,1973,Астрид Линдгрен,Швеция
Сущность христианства,1841,Людвиг Андреас Фейербах,королевство Бавария
Чёрный паук,1842,Иеремия Готхельф,Швейцария
Барышня Эльза,1924,Артур Шницлер,Австрия
Добрый человек из Сычуани,1943,Бертольт Брехт,ГДР
Просительницы,,Еврипид,Древние Афины
Тарас Бульба,1835,Николай Васильевич Гоголь,Российская империя
Над пропастью во ржи,1969,Джером Дэвид Сэлинджер,США
Туннель,,"Келлерман, Бернгард",ГДР
Открытие медлительности,1983,Стен Надольный,Германия
Морской волк,1904,Джек Лондон,США
Ион,,Еврипид,Древние Афины
Голем,1914,Густав Майринк,Австрия
Барышня Эльза,1924,Артур Шницлер,Цислейтания
Оно,1986,Стивен Кинг,США
Ангел молчал,1992,Генрих Бёлль,Германия
Жребий,1975,Стивен Кинг,США
Межзвёздный скиталец,1915,Джек Лондон,США
Ревизор,1836,Николай Васильевич Гоголь,Российская империя
Айвенго,1820,Вальтер Скотт,Великобритания
"Рони, дочь разбойника",1981,Астрид Линдгрен,Швеция
Невыносимая лёгкость бытия,1984,Милан Кундера,Франция
Невыносимая лёгкость бытия,1984,Милан Кундера,Чехия
Макс и Мориц,1865,Вильгельм Буш,Королевство Ганновер
Потерянная честь Катарины Блюм,1974,Генрих Бёлль,Германия
Алкеста,,Еврипид,Древние Афины
Кавказский меловой круг,1949,Бертольт Брехт,Австрия
Мужики,1904,"Реймонт, Владислав",Российская империя
Мужики,1904,"Реймонт, Владислав",Польская Республика
Влюблённый Роланд,1483,Маттео Мария Боярдо,
Очень голодная гусеница,1969,"Карл, Эрик",Германия
Железная хватка,1968,Чарльз Портис,США
Подвиньтесь! Подвиньтесь!,1966,Гарри Гаррисон,США
Пространство Откровения,2000,"Рейнольдс, Аластер",Уэльс
Золотой человек,1872,"Йокаи, Мор",Венгрия
Пространство Откровения,2000,"Рейнольдс, Аластер",Великобритания
Контакт,1985,Карл Эдвард Саган,США
История Фердинанда,1936,Роберт Лосон,США
Первый учитель,,Чингиз Торекулович Айтматов,Киргизия
Пастырь Гермы,,Ерма,Древний Рим
Очень голодная гусеница,1969,"Карл, Эрик",США
Джамиля,1958,Чингиз Торекулович Айтматов,СССР
Краткая история почти всего на свете,2003,Билл Брайсон,США
48 законов власти,1999,"Грин, Роберт",США
Флатландия,1884,"Абботт, Эдвин Абботт",Соединённое королевство Великобритании и Ирландии
Сутяги,1668,Жан Расин,Королевство Франция
Непрошенная повесть,,Нидзё,Япония
Басня о пчёлах,1705,Бернард де Мандевиль,Нидерланды
Вокзал потерянных снов,2000,"Мьевиль, Чайна",Великобритания
Мальчик в полосатой пижаме,2006,Джон Бойн,Ирландия
Подстилка из плоти,1657,Ли Юй,империя Мин
Принципия Дискордия,1963,Малаклипс Младший,США
Вэнь син дяо лун,501,Лю Се,Лян
Вэнь син дяо лун,502,Лю Се,Лян
Мелкий бес,1905,Фёдор Сологуб,СССР
Ифигения,1674,Жан Расин,Королевство Франция
Этаж смерти,1997,Ли Чайлд,Великобритания
Туманы Авалона,1983,Мэрион Зиммер Брэдли,США
Мастер и Маргарита,1967,Михаил Афанасьевич Булгаков,СССР
Принципия Дискордия,1963,Керри Торнли,США
Письмо Аристея,,Аристей,
Джамиля,1958,Чингиз Торекулович Айтматов,Киргизия
Звенящие кедры России (серия книг),,Владимир Николаевич Мегре,СССР
Мелкий бес,1905,Фёдор Сологуб,Российская империя
Звенящие кедры России (серия книг),,Владимир Николаевич Мегре,Россия
Андромаха,1667,Жан Расин,Королевство Франция
Мастер и Маргарита,1967,Михаил Афанасьевич Булгаков,Российская империя
Тигр! Тигр!,1956,Альфред Бестер,США
Через сто лет,1888,Эдвард Беллами,США
Песнь Кали,1985,Дэн Симмонс,США
Записки от скуки,,Ёсида Кэнко,Япония
Инцзао Фаши,1103,Ли Цзе,Северная Сун
Три толстяка,1928,"Олеша, Юрий Карлович",СССР
"Девочка, покорившая время",1965,"Цуцуи, Ясутака",Япония
Метро 2033,2005,Дмитрий Алексеевич Глуховский,Израиль
Метро 2033,2010,Дмитрий Алексеевич Глуховский,Израиль
Метро 2033,2005,Дмитрий Алексеевич Глуховский,Россия
Метро 2033,2010,Дмитрий Алексеевич Глуховский,Россия
Три толстяка,1928,"Олеша, Юрий Карлович",Российская империя
Корни,,"Хейли, Алекс",Мали
Предчувствие конца,2011,Джулиан Барнс,Великобритания
Остаток дня,1989,Кадзуо Исигуро,Япония
Повесть о любви Херея и Каллирои,,Харитон Афродисийский,
Корни,,"Хейли, Алекс",США
Замок Эскаль-Вигор,1899,Жорж Экхоуд,Бельгия
Грядущая раса,,Эдвард Бульвер-Литтон,Соединённое королевство Великобритании и Ирландии
Филумена Мартурано,1946,"Де Филиппо, Эдуардо",Италия
Филумена Мартурано,1946,"Де Филиппо, Эдуардо",Королевство Италия
Повелительница ястреба,1982,Мэрион Зиммер Брэдли,США
Рассуждение о добровольном рабстве,1576,Этьен де Ла Боэси,Франция
Суд — это я,1947,Микки Спиллейн,США
Король крыс,1962,"Клавелл, Джеймс",Австралия
День саранчи,1939,"Уэст, Натанаэл",США
Самгук саги,1145,Ким Бусик,Корё
Вэнь син дяо лун,501,Лю Се,Южная Ци
Вэнь син дяо лун,502,Лю Се,Южная Ци
Опера нищего,1800,Джон Гей,Королевство Великобритания
Юань ши,1370,Сун Лянь,империя Мин
Союз еврейских полисменов,2007,"Шейбон, Майкл",США
Самгук юса,1279,Ирён,Корё
Король крыс,1962,"Клавелл, Джеймс",США
Закон Паркинсона,,Сирил Норткот Паркинсон,Великобритания
Дивергент,2011,"Рот, Вероника",США
Цемент (роман),1925,Фёдор Васильевич Гладков,СССР
Подстилка из плоти,1657,Ли Юй,империя Цин
Invictus,1888,Уильям Хенли,Соединённое королевство Великобритании и Ирландии
Тристан,,Готтфрид Страсбургский,Германия
Шрек!,1990,Уильям Стейг,США
Бревиарий от основания города,369,Флавий Евтропий,Древний Рим
Barzaz Breiz,,"Эрсар де ла Вильмарке, Теодор",Франция
Цемент (роман),1925,Фёдор Васильевич Гладков,Российская империя
Оглянись во гневе,1956,Джон Осборн,Великобритания
"Музыка, звучащая в крови",1985,Грег Бир,США
Большой Мольн,1913,Ален-Фурнье,Франция
Метро 2034,2009,Дмитрий Алексеевич Глуховский,Израиль
Метро 2034,2009,Дмитрий Алексеевич Глуховский,Россия
Селестина,,"Рохас, Фернандо де",Испания
Гибель дракона,1973,"Комацу, Сакё",Япония
Собачье сердце,1987,Михаил Афанасьевич Булгаков,Российская империя
Дикая охота короля Стаха,1964,Владимир Семёнович Короткевич,СССР
Думай и богатей,1937,"Хилл, Наполеон",США
Мошка в зенице Господней,1974,Ларри Нивен,США
Первый учитель,,Чингиз Торекулович Айтматов,СССР
Селестина,,"Рохас, Фернандо де",Испанская империя
История любви,1970,"Сигал, Эрик",США
Вампир,1819,"Полидори, Джон",Соединённое королевство Великобритании и Ирландии
История Фердинанда,1936,Манро Лиф,США
Береника (Расин),1671,Жан Расин,Королевство Франция
Алый Первоцвет,1905,Эмма Орци,Великобритания
Ребекка,1938,"Дюморье, Дафна",Великобритания
Тристрам Шенди,1759,"Стерн, Лоренс",Королевство Великобритания
Конец истории и последний человек,1992,Фрэнсис Фукуяма,США
Колодец одиночества,1928,"Холл, Рэдклифф",Великобритания
Женский портрет,1881,Генри Джеймс,США
Грек Зорба,1946,Никос Казандзакис,Греция
Йога-сутры,,Патанджали,
"Дон Альваро, или сила судьбы",,Анхель Сааведра,Испания
Уцелевший,1999,Чак Паланик,США
Бемби,1923,Феликс Зальтен,Австрия
И пришло разрушение…,1958,Чинуа Ачебе,Колониальная Нигерия
И пришло разрушение…,1968,Чинуа Ачебе,Колониальная Нигерия
Ярмарка тщеславия,1848,Уильям Мейкпис Теккерей,Соединённое королевство Великобритании и Ирландии
Словарь Сатаны,1912,"Бирс, Амброз Гвиннет",США
Американский психопат,1991,Брет Истон Эллис,США
"История жизни пройдохи по имени Дон Паблос, пример бродяг и зерцало мошенников",1626,Франсиско де Кеведо,Испания
Бремя страстей человеческих,1915,Уильям Сомерсет Моэм,Великобритания
Вострушка-Золянка,1697,Мадам д’Онуа,Франция
Книга закона,1909,Алистер Кроули,Великобритания
Коллекционер,1963,"Фаулз, Джон Роберт",Великобритания
Пролетая над гнездом кукушки,1962,Кен Кизи,США
Мечтают ли андроиды об электроовцах?,,Филип Дик,США
Случай Чарльза Декстера Варда,1943,Говард Филлипс Лавкрафт,США
"Шпион, выйди вон!",1974,Джон ле Карре,Великобритания
Гражданское неповиновение,1849,Генри Дэвид Торо,США
Человек в высоком замке,1962,Филип Дик,США
Приключения Чиполлино,1951,Джанни Родари,Италия
Приключения Чиполлино,1951,Джанни Родари,Королевство Италия
В дороге,1957,Джек Керуак,США
Человек ли это?,1947,Примо Леви,Италия
Человек ли это?,1947,Примо Леви,Королевство Италия
"Шпион, выйди вон!",1974,Джон ле Карре,Ирландия
Убик,1969,Филип Дик,США
Помутнение,1977,Филип Дик,США
"Пролейтесь, слёзы...",1974,Филип Дик,США
Королевский убийца,1996,Робин Хобб,США
Натья Шастра,,Бхарата Муни,
Шум прибоя,1954,Юкио Мисима,Япония
Участница свадьбы,1946,Карсон Маккалерс,США
Щелкунчик и Мышиный король,1816,Эрнст Теодор Амадей Гофман,Королевство Пруссия
Завтрак у Тиффани,1958,Трумэн Капоте,США
Тысяча сияющих солнц (роман),2007,Халед Хоссейни,США
Леди Макбет Мценского уезда,1865,Николай Семёнович Лесков,Российская империя
"Доктор Смерть, или Как мы жили после бомбы",1965,Филип Дик,США
Остаток дня,1989,Кадзуо Исигуро,Великобритания
Нихон гайси,1827,Рай Санъё,Япония
Принцесса Клевская,1678,"Лафайет, Мари Мадлен де",Франция
